airport,city,lat,lon,departures,arrivals,total_flights
Meadows Fld (KBFL),"Bakersfield, CA",35.4357067,-119.0574886,15.0,15.0,30.0
Okc Will Rogers Intl (KOKC),"Oklahoma City, OK",35.4068476,-97.6101616,13.0,13.0,26.0
Memphis Intl (KMEM),"Memphis, TN",35.0443357,-89.9766186999999,12.0,12.0,24.0
McGhee Tyson (KTYS),"Knoxville, TN",35.806504,-83.9982326,14.0,6.0,20.0
Tucson Intl (KTUS),"Tucson, AZ",32.1205065,-110.9362203,10.0,10.0,20.0
Brownsville Intl (KBRO),"Brownsville, TX",25.916041,-97.4188842,10.0,8.0,18.0
Yakima Air Terminal (KYKM),"Yakima, WA",46.5675281,-120.5392171,9.0,9.0,18.0
State College Regional (KUNV),"State College, PA",40.8513145,-77.8508453,8.0,8.0,16.0
Detroit Metro Wayne Co (KDTW),"Detroit, MI",42.2132203,-83.3524824,2.0,11.0,13.0
Lakefront (KNEW),"New Orleans, LA",30.041267,-90.0246162,7.0,6.0,13.0
Gowen Field (KBOI),"Boise, ID",43.5609490999999,-116.2174493,6.0,6.0,12.0
Orlando Intl (KMCO),"Orlando, FL",28.4244422,-81.3104595,5.0,6.0,11.0
Mc Allen Miller Intl (KMFE),"Mission, TX",26.1770587,-98.2391389,6.0,5.0,11.0
Rafael Hernandez (BQN / TJBQ),"Aguadilla, Puerto Rico",18.4953813,-67.1355779,5.0,4.0,9.0
Randolph Afb (KRND),"Universal City, TX",29.5333661,-98.2864001,9.0,0.0,9.0
Tallahassee Intl (KTLH),"Tallahassee, FL",30.3954251,-84.3450525,4.0,4.0,8.0
Piedmont Triad Intl (KGSO),"Greensboro/High Point, NC",36.1029481,-79.9335219,4.0,4.0,8.0
William P Hobby (KHOU),"Houston, TX",29.6459141,-95.2768950999999,4.0,4.0,8.0
John F Kennedy Intl (KJFK),"New York, NY",40.6446124,-73.7797278,4.0,3.0,7.0
New Orleans Intl (KMSY),"New Orleans, LA",29.9940319,-90.2596569999999,2.0,4.0,6.0
Centennial (KAPA),"Denver, CO",39.5795225,-104.8462922,3.0,3.0,6.0
Hollywood Burbank Airport (KBUR),"Los Angeles, CA",34.1983122,-118.3574036,5.0,0.0,5.0
Oasis Ranger Station-U S Government (9FL7),"Everglades City, FL",25.8582443,-81.3850695,5.0,0.0,5.0
Shreveport Rgnl (KSHV),"Shreveport, LA",32.4546292,-93.8284795,2.0,2.0,4.0
Plattsburgh Intl (KPBG),"Plattsburgh, NY",44.6575396,-73.4669591999999,2.0,2.0,4.0
Dupage (KDPA),"Chicago, IL",41.9067614,-88.2549078999999,3.0,1.0,4.0
Niagara Falls Intl (KIAG),"Niagra Falls, NY",43.1070821,-78.9433049,2.0,2.0,4.0
March Arb (KRIV),"Riverside, CA",33.9091823,-117.2704194,2.0,2.0,4.0
Wichita Eisenhower (KICT),"Wichita, KS",37.6493348,-97.4273195,2.0,2.0,4.0
Cincinnati/Northern Kentucky International Airport (KCVG),"Cincinnati, OH",39.051351,-84.6671453,4.0,0.0,4.0
Portland Intl Jetport (KPWM),"Portland, ME",43.6460188,-70.3063521999999,2.0,2.0,4.0
Philadelphia Intl (KPHL),"Philadelphia, PA",39.8729796999999,-75.2436987,2.0,2.0,4.0
Washington Dulles Intl (KIAD),"Washington, DC",38.9072873,-77.0369274,1.0,2.0,3.0
Clearwater Intl (KPIE),"Clearwater, FL",27.9122109,-82.6891001,3.0,0.0,3.0
Fort Worth Alliance (KAFW),"Fort Worth, TX",32.9852708,-97.3130348,3.0,0.0,3.0
Mobile Rgnl (KMOB),"Mobile, AL",30.6924859,-88.2455489,3.0,0.0,3.0
Ontario Intl (KONT),"Ontario, CA",34.0559976,-117.5980922,1.0,1.0,2.0
Lafayette Rgnl/Paul Fournet Fld (KLFT),"Lafayette, LA",30.2032156,-91.9938744999999,2.0,0.0,2.0
Alvin Callender Fld (KNBG),"New Orleans, LA",29.8234426,-90.0154161,2.0,0.0,2.0
Monroe Rgnl (KMLU),"Monroe, LA",32.5102311,-92.0436229,1.0,1.0,2.0
St Louis Downtown (KCPS),"St. Louis, MO",38.6266074,-90.1916500999999,1.0,1.0,2.0
N Maine (KPQI),"Presque Isle, ME",46.6922264,-68.0452499,1.0,1.0,2.0
Boston Logan Intl (KBOS),"Boston, MA",42.365602,-71.0096136,1.0,1.0,2.0
N Platte Rgnl Airport (LBF),"North Platte, NE",41.1326828,-100.6979522,1.0,1.0,2.0
Topeka Rgnl (KFOE),"Topeka, KS",38.9468669,-95.6749095,1.0,1.0,2.0
Birmingham-Shuttlesworth Intl (KBHM),"Birmingham, AL",33.5705125,-86.7529948999999,1.0,1.0,2.0
Little Rock Afb (KLRF),"Little Rock, AR",34.7428286,-92.2762904,0.0,2.0,2.0
Raleigh-Durham Intl (KRDU),"Raleigh, NC",35.8797678,-78.7855512,1.0,1.0,2.0
"Near Tampa, FL","Tampa, FL",27.9516896,-82.4587526999999,1.0,0.0,1.0
El Centro Naf (Vraciu Fld) (KNJK),"El Centro, CA",32.8114618,-115.6723029,0.0,1.0,1.0
Brown Fld Muni (KSDM),"San Diego, CA",32.5691884,-116.9856305,1.0,0.0,1.0
"Near Alexandria, LA","Alexandria, LA",31.3112936,-92.4451371,0.0,1.0,1.0
Meml Fld (KHOT),"Hot Springs, AR",34.4826534,-93.095629,1.0,0.0,1.0
Northwest Arkansas NTL,"Fayetteville, AR",36.0618562,-94.1579584,0.0,1.0,1.0
Phoenix Sky Harbor Intl (KPHX),"Phoenix, AZ",33.436253,-112.012159,0.0,1.0,1.0
John Glenn Columbus Intl Airport (KCMH),"Columbus, OH",39.998728,-82.884463,1.0,0.0,1.0
Mahlon Sweet Fld (KEUG),"Eugene, OR",44.1217811,-123.2159003,1.0,0.0,1.0
